        x     y     z  size
166 -30.0 -30.0  30.0    24
469  90.0 -30.0  90.0    24
183 -30.0  30.0  70.0    24
463  90.0 -50.0  70.0    24
186 -30.0  50.0  30.0    24
196 -30.0  90.0  30.0    24
339  30.0  50.0  90.0    24
141 -50.0  70.0  30.0    24
273  10.0 -10.0  70.0    24
192 -30.0  70.0  50.0    24
128 -50.0  10.0  70.0    24
248 -10.0  90.0  70.0    24
95  -70.0  90.0  10.0    24
59  -70.0 -70.0  90.0    25
53  -70.0 -90.0  70.0    25
307  30.0 -70.0  50.0    25
35  -90.0  50.0  10.0    25
20  -90.0 -10.0  10.0    25
294  10.0  70.0  90.0    25
356  50.0 -70.0  30.0    25
241 -10.0  70.0  30.0    25
194 -30.0  70.0  90.0    25
189 -30.0  50.0  90.0    25
184 -30.0  30.0  90.0    25
237 -10.0  50.0  50.0    25
163 -30.0 -50.0  70.0    25
152 -30.0 -90.0  50.0    25
132 -50.0  30.0  50.0    25
331  30.0  30.0  30.0    25
413  70.0 -50.0  70.0    25
295  10.0  90.0  10.0    25
107 -50.0 -70.0  50.0    25
103 -50.0 -90.0  70.0    25
431  70.0  30.0  30.0    25
92  -70.0  70.0  50.0    25
32  -90.0  30.0  50.0    26
26  -90.0  10.0  30.0    26
460  90.0 -50.0  10.0    26
198 -30.0  90.0  70.0    26
202 -10.0 -90.0  50.0    26
239 -10.0  50.0  90.0    26
323  30.0 -10.0  70.0    26
286  10.0  50.0  30.0    26
3   -90.0 -90.0  70.0    26
2   -90.0 -90.0  50.0    26
1   -90.0 -90.0  30.0    26
70  -70.0 -10.0  10.0    26
246 -10.0  90.0  30.0    26
366  50.0 -30.0  30.0    27
364  50.0 -50.0  90.0    27
359  50.0 -70.0  90.0    27
375  50.0  10.0  10.0    27
190 -30.0  70.0  10.0    27
379  50.0  10.0  90.0    27
367  50.0 -30.0  50.0    27
115 -50.0 -30.0  10.0    27
455  90.0 -70.0  10.0    27
442  70.0  70.0  50.0    27
309  30.0 -70.0  90.0    27
149 -50.0  90.0  90.0    27
278  10.0  10.0  70.0    27
435  70.0  50.0  10.0    27
45  -90.0  90.0  10.0    27
320  30.0 -10.0  10.0    27
40  -90.0  70.0  10.0    28
124 -50.0 -10.0  90.0    28
161 -30.0 -50.0  30.0    28
244 -10.0  70.0  90.0    28
209 -10.0 -70.0  90.0    28
484  90.0  30.0  90.0    28
256  10.0 -70.0  30.0    28
365  50.0 -30.0  10.0    28
285  10.0  50.0  10.0    28
352  50.0 -90.0  50.0    29
62  -70.0 -50.0  50.0    29
477  90.0  10.0  50.0    29
406  70.0 -70.0  30.0    29
8   -90.0 -70.0  70.0    29
206 -10.0 -70.0  30.0    29
313  30.0 -50.0  70.0    30
89  -70.0  50.0  90.0    31
64  -70.0 -50.0  90.0    31
79  -70.0  10.0  90.0    31
334  30.0  30.0  90.0    32
12  -90.0 -50.0  50.0    33
